province,year,gdp_pc_usd_const2015,manufacturing_pct_grdp
KALIMANTAN TENGAH,2022,4180.8,15.478
KALIMANTAN SELATAN,2022,3449.7,11.381
KALIMANTAN TIMUR,2022,13688.1,15.042
KALIMANTAN UTARA,2022,11033.8,7.769
SULAWESI UTARA,2022,3381.4,10.663
SULAWESI TENGAH,2022,6076.9,40.322
SULAWESI SELATAN,2022,3744.2,12.888
SULAWESI TENGGARA,2022,3363.9,8.364
GORONTALO,2022,2274.0,4.564
SULAWESI BARAT,2022,2121.8,10.814
MALUKU,2022,1634.9,5.719
MALUKU UTARA,2022,3081.0,29.102
PAPUA BARAT,2022,4476.9,26.84
PAPUA,2022,3402.2,1.687
ACEH,2023,2336.6,4.837
SUMATERA UTARA,2023,3854.4,18.574
SUMATERA BARAT,2023,3066.0,8.408
RIAU,2023,8719.5,27.55
JAMBI,2023,4507.2,9.986
SUMATERA SELATAN,2023,4060.5,17.908
BENGKULU,2023,2612.7,5.326
LAMPUNG,2023,2719.2,18.014
KEP. BANGKA BELITUNG,2023,3826.6,21.145
KEP. RIAU,2023,8693.7,40.081
DKI JAKARTA,2023,18206.8,11.872
JAWA BARAT,2023,2971.0,41.867
JAWA TENGAH,2023,2548.4,33.986
DI YOGYAKARTA,2023,2729.7,11.814
JAWA TIMUR,2023,4013.3,30.512
BANTEN,2023,3732.6,30.246
BALI,2023,3515.5,6.238
NUSA TENGGARA BARAT,2023,1688.7,3.865
NUSA TENGGARA TIMUR,2023,1302.3,1.315
KALIMANTAN BARAT,2023,2754.2,15.672
KALIMANTAN TENGAH,2023,4247.5,15.591
KALIMANTAN SELATAN,2023,3597.6,10.754
KALIMANTAN TIMUR,2023,12177.6,17.767
KALIMANTAN UTARA,2023,11386.7,7.689
SULAWESI UTARA,2023,3618.8,10.639
SULAWESI TENGAH,2023,6346.0,40.355
SULAWESI SELATAN,2023,3933.7,12.849
SULAWESI TENGGARA,2023,3616.4,8.772
GORONTALO,2023,2389.2,4.427
SULAWESI BARAT,2023,2231.6,11.156
MALUKU,2023,1718.5,6.263
MALUKU UTARA,2023,3626.7,32.628
PAPUA BARAT,2023,6100.5,28.892
PAPUA,2023,4404.6,1.617
ACEH,2024,2448.8,4.713
SUMATERA UTARA,2024,4115.1,18.364
SUMATERA BARAT,2024,3192.7,8.367
RIAU,2024,9248.2,28.119
JAMBI,2024,4853.4,9.755
SUMATERA SELATAN,2024,4202.2,18.292
BENGKULU,2024,2753.7,5.189
LAMPUNG,2024,2874.1,18.899
KEP. BANGKA BELITUNG,2024,3926.0,20.596
KEP. RIAU,2024,9028.7,41.037
DKI JAKARTA,2024,19261.7,11.494
JAWA BARAT,2024,3136.7,41.387
JAWA TENGAH,2024,2683.0,33.815
DI YOGYAKARTA,2024,2879.7,11.845
JAWA TIMUR,2024,4237.9,30.853
BANTEN,2024,3930.6,30.349
BALI,2024,3765.2,6.254
NUSA TENGGARA BARAT,2024,1805.6,3.871
NUSA TENGGARA TIMUR,2024,1359.3,1.399
KALIMANTAN BARAT,2024,2947.7,15.607
KALIMANTAN TENGAH,2024,4436.4,15.721
KALIMANTAN SELATAN,2024,3754.2,10.952
KALIMANTAN TIMUR,2024,11863.9,18.273
KALIMANTAN UTARA,2024,11112.2,8.269
SULAWESI UTARA,2024,3879.0,10.615
SULAWESI TENGAH,2024,6753.7,41.184
SULAWESI SELATAN,2024,4115.0,13.022
SULAWESI TENGGARA,2024,3794.4,9.397
GORONTALO,2024,2485.4,4.393
SULAWESI BARAT,2024,2389.3,10.41
MALUKU,2024,1800.9,6.306
MALUKU UTARA,2024,4000.0,34.42
PAPUA BARAT,2024,7362.6,38.926
PAPUA BARAT DAYA,2024,3303.5,17.738
PAPUA,2024,4530.9,2.979
PAPUA SELATAN,2024,3446.6,5.615
PAPUA TENGAH,2024,6643.1,0.232
PAPUA PEGUNUNGAN,2024,1012.7,0.755
